,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hbd,n_hba,logp,passed,MACCS_clusters,ECFP4_clusters
2165,CHEMBL1761929,6900.0,nM,COC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,5.161150909262744,354.13280505599994,2,7,3.568900000000002,True,3,23
2166,CHEMBL1242028,6900.0,nM,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,5.161150909262744,305.1088164760001,2,6,2.6402,True,4,170
2167,CHEMBL1821894,6920.0,nM,COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(OC)cc3)C2)cc1,5.1598939055432425,441.15109797599996,0,6,6.183000000000005,True,48,12
2168,CHEMBL4106341,6920.0,nM,Cc1[nH]c2ncnc(NC3CCCCC3)c2c1C,5.1598939055432425,244.16879663999998,2,3,3.319340000000002,True,61,490
2169,CHEMBL203529,7000.0,nM,Fc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.154901959985743,308.107339256,2,5,4.077100000000002,True,19,31
2170,CHEMBL117554,7000.0,nM,Clc1ccc(CNc2ncnc3ccccc23)cc1,5.154901959985743,269.07197506399996,1,3,3.8953000000000015,True,2,59
2171,CHEMBL3325478,7000.0,nM,CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(C)ccc2n2nnnc12,5.154901959985743,495.2018876600001,1,10,3.3252200000000016,True,23,50
2172,CHEMBL3221550,7050.0,nM,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1.Cl,5.151810883008602,418.14078289599996,2,7,4.770900000000005,True,66,23
2173,CHEMBL2018748,7050.0,nM,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,5.151810883008602,382.16410518399994,2,7,4.349100000000003,True,66,23
2174,CHEMBL81073,7100.0,nM,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,5.1487416512809245,395.14812077199997,1,8,3.893080000000003,True,3,152
2175,CHEMBL58436,7100.0,nM,c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,5.1487416512809245,358.15420919600007,1,7,3.5577000000000014,True,155,489
2176,CHEMBL5092606,7137.0,nM,CN(C)C(=O)c1ccc(Nc2ncc(C(F)(F)F)c(N[C@H]3CC[C@@H](N)CC3)n2)cc1,5.146484303243072,422.2041940800001,3,6,3.622600000000001,True,154,488
2177,CHEMBL2018761,7200.0,nM,COC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1C,5.142667503568732,368.14845512,2,7,3.877320000000002,True,3,23
2178,CHEMBL3221553,7200.0,nM,COC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1C.Cl,5.142667503568732,404.125132832,2,7,4.299120000000003,True,1,23
2179,CHEMBL4282482,7200.0,nM,Clc1ccc(-c2cn3nc(-c4ccccc4)nc3s2)cc1,5.142667503568732,311.028396,0,4,4.778200000000003,True,122,127
2180,CHEMBL2064397,7200.0,nM,CN(c1ccccc1)c1ncnc2cc3oc(=O)n(CCCN4CCOCC4)c3cc12,5.142667503568732,419.19573966,0,8,3.0279000000000016,True,0,343
2181,CHEMBL4083815,7230.0,nM,O=c1c2ccccc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2Cl)s1,5.140861702705469,416.049859716,0,6,5.2246000000000015,True,6,130
2182,CHEMBL101683,7300.0,nM,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,5.136677139879544,337.09818981200004,2,3,4.599400000000003,True,124,283
2183,CHEMBL540292,7300.0,nM,CN(C)CC(CSc1ccccc1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,5.136677139879544,441.152927816,0,4,5.840200000000006,True,101,203
2184,CHEMBL369967,7400.0,nM,CCNCc1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,5.130768280269024,425.23279386400003,2,7,4.542800000000003,True,44,22
2185,CHEMBL1241776,7400.0,nM,CC(C)n1nc(-c2ccc3nc[nH]c(=O)c3c2)c2c(N)ncnc21,5.130768280269024,321.13380810000007,2,7,1.8928999999999996,True,4,236
2186,CHEMBL1929308,7440.0,nM,CC(C)(C)c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,5.128427064454121,324.12963425999993,0,4,5.326400000000005,True,51,100
2187,CHEMBL3237934,7442.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CCN3CCN(C)CC3)c2)n1,5.1283103343144845,594.283364788,2,10,4.002300000000003,True,5,40
2188,CHEMBL1821893,7480.0,nM,COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(C)cc3)C2)cc1,5.126098402135539,425.156183356,0,5,6.482820000000006,True,36,12
2189,CHEMBL3612580,7500.0,nM,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc(OC)cc4)c3cc21,5.1249387366083,422.15901980399997,1,9,3.633200000000002,True,0,21
2190,CHEMBL383121,7500.0,nM,COc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.1249387366083,320.127325752,2,6,3.946600000000002,True,19,31
2191,CHEMBL107472,7500.0,nM,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.1249387366083,334.038816364,1,5,3.344000000000001,True,25,15
2192,CHEMBL98798,7600.0,nM,COc1cc2ncnc(Oc3cccc(Br)c3)c2cc1OC,5.119186407719209,360.01095437600003,0,5,4.201800000000003,True,1,160
2193,CHEMBL428690,7600.0,nM,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,5.119186407719209,401.10300041999994,3,6,3.3046000000000015,True,130,285
2194,CHEMBL1822065,7660.0,nM,COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(O)cc3)C2)cc1,5.115771230367396,461.09647556,1,6,6.533400000000005,True,6,12
