,molecule_chembl_id,IC50,units,smiles,pIC50,passed
4929,CHEMBL3234737,575.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1ccccn1,6.2403321553103694,True
4930,CHEMBL1242198,576.0,nM,CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,6.239577516576788,True
4931,CHEMBL92824,577.0,nM,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,6.238824186844268,True
4934,CHEMBL300083,578.0,nM,Nc1cc2ncnc(NCc3ccccc3)c2cn1,6.238072161579471,True
4935,CHEMBL1242115,579.0,nM,CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,6.237321436272564,True
4941,CHEMBL333851,588.0,nM,COc1cc2c(NCc3ccccc3)ncnc2cc1O,6.230622673923862,True
4943,CHEMBL2347968,589.0,nM,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(Cl)c12)c1ccccc1,6.229884705212898,True
4944,CHEMBL2312654,590.0,nM,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,6.229147988357855,True
4947,CHEMBL3628800,590.0,nM,Fc1ccc(Oc2ncnc3ccccc23)cc1Cl,6.229147988357855,True
4953,CHEMBL3941175,593.0,nM,CCC(=O)Nc1cc2c(Nc3ccc(NS(=O)(=O)c4ccccc4)c(F)c3)ncnc2cc1OC,6.226945306635737,True
4955,CHEMBL3774712,594.5,nM,Cc1ccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)cc1,6.225848141045289,True
4958,CHEMBL4519408,598.0,nM,COc1cc(N2CCN(CC(=O)N(C)C)C2=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.223298816011589,True
4964,CHEMBL3416630,600.0,nM,OC[C@@H](Nc1ncnc2sc(-c3ccc(CN4CCNCC4)cc3)cc12)c1ccccc1,6.221848749616356,True
4967,CHEMBL3416631,600.0,nM,OCCN1CCN(Cc2ccc(-c3cc4c(N[C@H](CO)c5ccccc5)ncnc4s3)cc2)CC1,6.221848749616356,True
4968,CHEMBL173478,600.0,nM,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1,6.221848749616356,True
4972,CHEMBL3758502,600.0,nM,CC1(C)OCc2c(Nc3n[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21,6.221848749616356,True
