,molecule_chembl_id,IC50,units,smiles,pIC50
4951,CHEMBL4290375,901.0,nM,Cc1oc2ncnc(Nc3cccc(Cl)c3)c2c1C(=O)O,6.045275209020937
4952,CHEMBL5094237,902.4,nM,C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)/C=C/C,6.044600913360733
4953,CHEMBL4463563,903.0,nM,C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)CC1,6.044312249686494
4954,CHEMBL5272096,906.0,nM,CN1CCN(c2ccc(Nc3ncc([N+](=O)[O-])c(Nc4ccc5[nH]ccc5c4)n3)cc2)CC1,6.042871802323187
4955,CHEMBL1242112,908.0,nM,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,6.041914151478915
4956,CHEMBL3237945,910.0,nM,CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1c(C)nn(-c2ccc(C)cc2)c1Cl,6.040958607678906
4957,CHEMBL131193,910.0,nM,CO[C@H]1[C@@H](N(C)Cc2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.040958607678906
4958,CHEMBL104779,910.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,6.040958607678906
4959,CHEMBL116525,910.0,nM,CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,6.040958607678906
4960,CHEMBL441083,910.0,nM,Cc1cccc(Nc2ncnc3ccccc23)c1,6.040958607678906
4961,CHEMBL94019,910.0,nM,COc1cc2ncnc(NC3CCc4ccccc43)c2cc1OC,6.040958607678906
4962,CHEMBL5218780,916.0,nM,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4c3CC(c3ccccc3)N4)[nH]2)cc1,6.03810452633215
4963,CHEMBL511623,918.0,nM,Fc1ccc(Nc2ncnc3nc(NCCN4CCOCC4)sc23)cc1Cl,6.037157318798758
4964,CHEMBL2070201,920.0,nM,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,6.036212172654444
4965,CHEMBL399735,921.0,nM,COc1cc2ncnc(Nc3cccc(C#Cc4ccccc4)c3)c2cc1OC,6.035740369803151
4966,CHEMBL1241241,922.0,nM,CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,6.035269078946371
4967,CHEMBL4579805,923.0,nM,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,6.034798298974088
4968,CHEMBL3676338,924.0,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCNC(=O)CN(C)C,6.0343280287798935
4969,CHEMBL2029427,929.0,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(NC)nc32)c1,6.031984286006359
4970,CHEMBL4533337,930.0,nM,O=C1c2cc(-c3ccc(N4CCNCC4)cc3)ccc2Nc2ccc(F)cc2N1Cc1ccccc1,6.031517051446065
4971,CHEMBL293749,930.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,6.031517051446065
4972,CHEMBL274732,930.0,nM,COCCN(C)CCN1CCC(n2cc(-c3cccc(OC)c3)c3c(N)ncnc32)CC1,6.031517051446065
4973,CHEMBL115440,930.0,nM,COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6.031517051446065
4974,CHEMBL3133906,931.0,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OC)cc3OC)c2c1,6.031050319018657
4975,CHEMBL4288761,933.0,nM,CCOC(=O)CCC(=O)Nc1cc(Nc2cccc(Br)c2)ncn1,6.0301183562535
4976,CHEMBL1241586,937.0,nM,CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21,6.028260409112222
4977,CHEMBL4562744,937.0,nM,CNc1cncc(-c2c[nH]c3nc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4)nc(OC4CCOCC4)c23)n1,6.028260409112222
4978,CHEMBL5280531,937.7,nM,FC(F)(F)c1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.027936083991977
4979,CHEMBL5208369,938.0,nM,O=C(Nc1nccs1)C(c1cc[nH]n1)N1Cc2ccccc2C1=O,6.027797161620936
4980,CHEMBL2325104,940.0,nM,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1cccc2ccccc12,6.026872146400302
4981,CHEMBL589831,940.0,nM,O=C(Nc1ccc(Br)cc1)c1ccc(N(CCCl)CCCl)cc1,6.026872146400302
4982,CHEMBL432428,940.0,nM,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,6.026872146400302
4983,CHEMBL590109,940.0,nM,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,6.026872146400302
4984,CHEMBL54474,940.0,nM,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,6.026872146400302
4985,CHEMBL342792,940.0,nM,COc1cc(/C=C(\C#N)S(=O)(=O)/C(C#N)=C/c2cc(O)c(O)c(OC)c2)cc(O)c1O,6.026872146400302
4986,CHEMBL1812571,940.0,nM,O=C(/C=C/c1ccccc1[N+](=O)[O-])Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.026872146400302
4987,CHEMBL283682,940.0,nM,CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6.026872146400302
4988,CHEMBL4289682,944.0,nM,O=C(O)CCCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,6.025028005701931
4989,CHEMBL4865792,946.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)CCl)c2)n1,6.024108863598207
4990,CHEMBL5076881,948.8,nM,C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)C#CC,6.022825323979813
